verse,text
Luke 3:21-22,"Now when all the people were baptized, Jesus also had been baptized, and was praying. The sky was opened,
and the Holy Spirit descended in a bodily form like a dove on him; and a voice came out of the sky, saying “You are my beloved Son. In you I am well pleased.”
"
"Mark 15,40-41","Immediately in the morning the chief priests, with the elders and scribes, and the whole council, held a consultation, and bound Jesus, and carried him away, and delivered him up to Pilate.
Pilate asked him, “Are you the King of the Jews?”
He answered,
“So you say.”
The chief priests accused him of many things.
Pilate again asked him, “Have you no answer? See how many things they testify against you!”
But Jesus made no further answer, so that Pilate marveled.
Now at the feast he used to release to them one prisoner, whom they asked of him.
There was one called Barabbas, bound with his fellow insurgents, men who in the insurrection had committed murder.
The multitude, crying aloud, began to ask him to do as he always did for them.
Pilate answered them, saying, “Do you want me to release to you the King of the Jews?”
For he perceived that for envy the chief priests had delivered him up.
But the chief priests stirred up the multitude, that he should release Barabbas to them instead.
Pilate again asked them, “What then should I do to him whom you call the King of the Jews?”
They cried out again, “Crucify him!”
Pilate said to them, “Why, what evil has he done?”
But they cried out exceedingly, “Crucify him!”
Pilate, wishing to please the multitude, released Barabbas to them, and handed over Jesus, when he had flogged him, to be crucified.
The soldiers led him away within the court, which is the Praetorium; and they called together the whole cohort.
They clothed him with purple, and weaving a crown of thorns, they put it on him.
They began to salute him, “Hail, King of the Jews!”
They struck his head with a reed, and spat on him, and bowing their knees, did homage to him.
When they had mocked him, they took the purple off him, and put his own garments on him. They led him out to crucify him.
They compelled one passing by, coming from the country, Simon of Cyrene, the father of Alexander and Rufus, to go with them, that he might bear his cross.
They brought him to the place called Golgotha, which is, being interpreted, “The place of a skull.”
They offered him wine mixed with myrrh to drink, but he didn’t take it.
Crucifying him, they parted his garments among them, casting lots on them, what each should take.
It was the third hour,
 and they crucified him.
The superscription of his accusation was written over him, “THE KING OF THE JEWS.”
With him they crucified two robbers; one on his right hand, and one on his left.
The Scripture was fulfilled, which says, “He was counted with transgressors.”

Those who passed by blasphemed him, wagging their heads, and saying, “Ha! You who destroy the temple, and build it in three days,
save yourself, and come down from the cross!”
Likewise, also the chief priests mocking among themselves with the scribes said, “He saved others. He can’t save himself.
Let the Christ, the King of Israel, now come down from the cross, that we may see and believe him.”
 Those who were crucified with him also insulted him.
When the sixth hour
 had come, there was darkness over the whole land until the ninth hour.

At the ninth hour Jesus cried with a loud voice, saying,
“Eloi, Eloi, lama sabachthani?” which is, being interpreted,
“My God, my God, why have you forsaken me?”

Some of those who stood by, when they heard it, said, “Behold, he is calling Elijah.”
One ran, and filling a sponge full of vinegar, put it on a reed, and gave it to him to drink, saying, “Let him be. Let’s see whether Elijah comes to take him down.”
Jesus cried out with a loud voice, and gave up the spirit.
The veil of the temple was torn in two from the top to the bottom.
When the centurion, who stood by opposite him, saw that he cried out like this and breathed his last, he said, “Truly this man was the Son of God!”
There were also women watching from afar, among whom were both Mary Magdalene, and Mary the mother of James the less and of Joses, and Salome;
who, when he was in Galilee, followed him, and served him; and many other women who came up with him to Jerusalem.
When evening had now come, because it was the Preparation Day, that is, the day before the Sabbath,
Joseph of Arimathaea, a prominent council member who also himself was looking for God’s Kingdom, came. He boldly went in to Pilate, and asked for Jesus’ body.
Pilate marveled if he were already dead; and summoning the centurion, he asked him whether he had been dead long.
When he found out from the centurion, he granted the body to Joseph.
He bought a linen cloth, and taking him down, wound him in the linen cloth, and laid him in a tomb which had been cut out of a rock. He rolled a stone against the door of the tomb.
Mary Magdalene and Mary, the mother of Joses, saw where he was laid.
There were also women watching from afar, among whom were both Mary Magdalene, and Mary the mother of James the less and of Joses, and Salome;
who, when he was in Galilee, followed him, and served him; and many other women who came up with him to Jerusalem.
"
Matthew 3:13-17,"Then Jesus came from Galilee to the Jordan to John, to be baptized by him.
But John would have hindered him, saying, “I need to be baptized by you, and you come to me?”
But Jesus, answering, said to him,
“Allow it now, for this is the fitting way for us to fulfill all righteousness.” Then he allowed him.
Jesus, when he was baptized, went up directly from the water: and behold, the heavens were opened to him. He saw the Spirit of God descending as a dove, and coming on him.
Behold, a voice out of the heavens said, “This is my beloved Son, with whom I am well pleased.”
"
John 19:25-27,"But there were standing by the cross of Jesus his mother, and his mother’s sister, Mary the wife of Clopas, and Mary Magdalene.
Therefore when Jesus saw his mother, and the disciple whom he loved standing there, he said to his mother,
“Woman, behold, your son!”

Then he said to the disciple,
“Behold, your mother!” From that hour, the disciple took her to his own home.
"
Luke 8:26-39,"They arrived at the country of the Gadarenes, which is opposite Galilee.
When Jesus stepped ashore, a certain man out of the city who had demons for a long time met him. He wore no clothes, and didn’t live in a house, but in the tombs.
When he saw Jesus, he cried out, and fell down before him, and with a loud voice said, “What do I have to do with you, Jesus, you Son of the Most High God? I beg you, don’t torment me!”
For Jesus was commanding the unclean spirit to come out of the man. For the unclean spirit had often seized the man. He was kept under guard, and bound with chains and fetters. Breaking the bonds apart, he was driven by the demon into the desert.
Jesus asked him,
“What is your name?”
He said, “Legion,” for many demons had entered into him.
They begged him that he would not command them to go into the abyss.
Now there was there a herd of many pigs feeding on the mountain, and they begged him that he would allow them to enter into those. He allowed them.
The demons came out of the man, and entered into the pigs, and the herd rushed down the steep bank into the lake, and were drowned.
When those who fed them saw what had happened, they fled, and told it in the city and in the country.
People went out to see what had happened. They came to Jesus, and found the man from whom the demons had gone out, sitting at Jesus’ feet, clothed and in his right mind; and they were afraid.
Those who saw it told them how he who had been possessed by demons was healed.
All the people of the surrounding country of the Gadarenes asked him to depart from them, for they were very much afraid. He entered into the boat, and returned.
But the man from whom the demons had gone out begged him that he might go with him, but Jesus sent him away, saying,

“Return to your house, and declare what great things God has done for you.” He went his way, proclaiming throughout the whole city what great things Jesus had done for him.
"
John 1:29-34,"The next day, he saw Jesus coming to him, and said, “Behold, the Lamb of God, who takes away the sin of the world!
This is he of whom I said, ‘After me comes a man who is preferred before me, for he was before me.’
I didn’t know him, but for this reason I came baptizing in water: that he would be revealed to Israel.”
John testified, saying, “I have seen the Spirit descending like a dove out of heaven, and it remained on him.
I didn’t recognize him, but he who sent me to baptize in water, he said to me, ‘On whomever you will see the Spirit descending, and remaining on him, the same is he who baptizes in the Holy Spirit.’
I have seen, and have testified that this is the Son of God.”
"
Luke 6:27-36,"
“But I tell you who hear: love your enemies, do good to those who hate you,


bless those who curse you, and pray for those who mistreat you.


To him who strikes you on the cheek, offer also the other; and from him who takes away your cloak, don’t withhold your coat also.


Give to everyone who asks you, and don’t ask him who takes away your goods to give them back again.

“As you would like people to do to you, do exactly so to them.


If you love those who love you, what credit is that to you? For even sinners love those who love them.


If you do good to those who do good to you, what credit is that to you? For even sinners do the same.


If you lend to those from whom you hope to receive, what credit is that to you? Even sinners lend to sinners, to receive back as much.


But love your enemies, and do good, and lend, expecting nothing back; and your reward will be great, and you will be children of the Most High; for he is kind toward the unthankful and evil.

“Therefore be merciful,
even as your Father is also merciful.
"
John 20:1-18,"Now on the first day of the week, Mary Magdalene went early, while it was still dark, to the tomb, and saw the stone taken away from the tomb.
Therefore she ran and came to Simon Peter, and to the other disciple whom Jesus loved, and said to them, “They have taken away the Lord out of the tomb, and we don’t know where they have laid him!”
Therefore Peter and the other disciple went out, and they went toward the tomb.
They both ran together. The other disciple outran Peter, and came to the tomb first.
Stooping and looking in, he saw the linen cloths lying, yet he didn’t enter in.
Then Simon Peter came, following him, and entered into the tomb. He saw the linen cloths lying,
and the cloth that had been on his head, not lying with the linen cloths, but rolled up in a place by itself.
So then the other disciple who came first to the tomb also entered in, and he saw and believed.
For as yet they didn’t know the Scripture, that he must rise from the dead.
So the disciples went away again to their own homes.
But Mary was standing outside at the tomb weeping. So, as she wept, she stooped and looked into the tomb,
and she saw two angels in white sitting, one at the head, and one at the feet, where the body of Jesus had lain.
They told her, “Woman, why are you weeping?”
She said to them, “Because they have taken away my Lord, and I don’t know where they have laid him.”
When she had said this, she turned around and saw Jesus standing, and didn’t know that it was Jesus.
Jesus said to her,
“Woman, why are you weeping? Who are you looking for?”
She, supposing him to be the gardener, said to him, “Sir, if you have carried him away, tell me where you have laid him, and I will take him away.”
Jesus said to her,
“Mary.”
She turned and said to him, “Rabboni!” which is to say, “Teacher!”
Jesus said to her,
“Don’t hold me, for I haven’t yet ascended to my Father; but go to my brothers, and tell them, ‘I am ascending to my Father and your Father, to my God and your God.’”
Mary Magdalene came and told the disciples that she had seen the Lord, and that he had said these things to her.
"
Luke 11:1-4,"When he finished praying in a certain place, one of his disciples said to him, “Lord, teach us to pray, just as John also taught his disciples.”
He said to them,
“When you pray, say,
‘Our Father in heaven,
may your name be kept holy.
May your Kingdom come.
May your will be done on earth, as it is in heaven.

Give us day by day our daily bread.

Forgive us our sins,
for we ourselves also forgive everyone who is indebted to us.

Bring us not into temptation,
but deliver us from the evil one.’”
"
John 2:14-21,"He found in the temple those who sold oxen, sheep, and doves, and the changers of money sitting.
He made a whip of cords, and threw all out of the temple, both the sheep and the oxen; and he poured out the changers’ money, and overthrew their tables.
To those who sold the doves, he said,
“Take these things out of here! Don’t make my Father’s house a marketplace!”
His disciples remembered that it was written, “Zeal for your house will eat me up.”
The Jews therefore answered him, “What sign do you show us, seeing that you do these things?”
Jesus answered them,
“Destroy this temple, and in three days I will raise it up.”
The Jews therefore said, “It took forty-six years to build this temple! Will you raise it up in three days?”
But he spoke of the temple of his body.
"
