,verse,text,category,pericope
0,Luke 1:5-25,"There was in the days of Herod, the king of Judea, a certain priest named Zacharias, of the priestly division of Abijah. He had a wife of the daughters of Aaron, and her name was Elizabeth.
They were both righteous before God, walking blamelessly in all the commandments and ordinances of the Lord.
But they had no child, because Elizabeth was barren, and they both were well advanced in years.
Now while he executed the priest’s office before God in the order of his division,
according to the custom of the priest’s office, his lot was to enter into the temple of the Lord and burn incense.
The whole multitude of the people were praying outside at the hour of incense.
An angel of the Lord appeared to him, standing on the right side of the altar of incense.
Zacharias was troubled when he saw him, and fear fell upon him.
But the angel said to him, “Don’t be afraid, Zacharias, because your request has been heard, and your wife, Elizabeth, will bear you a son, and you shall call his name John.
You will have joy and gladness; and many will rejoice at his birth.
For he will be great in the sight of the Lord, and he will drink no wine nor strong drink. He will be filled with the Holy Spirit, even from his mother’s womb.
He will turn many of the children of Israel to the Lord, their God.
He will go before him in the spirit and power of Elijah, ‘to turn the hearts of the fathers to the children,’ and the disobedient to the wisdom of the just; to prepare a people prepared for the Lord.”
Zacharias said to the angel, “How can I be sure of this? For I am an old man, and my wife is well advanced in years.”
The angel answered him, “I am Gabriel, who stands in the presence of God. I was sent to speak to you, and to bring you this good news.
Behold, you will be silent and not able to speak, until the day that these things will happen, because you didn’t believe my words, which will be fulfilled in their proper time.”
The people were waiting for Zacharias, and they marveled that he delayed in the temple.
When he came out, he could not speak to them, and they perceived that he had seen a vision in the temple. He continued making signs to them, and remained mute.
When the days of his service were fulfilled, he departed to his house.
After these days Elizabeth, his wife, conceived, and she hid herself five months, saying,
“Thus has the Lord done to me in the days in which he looked at me, to take away my reproach among men.”
",childhood,The Promise of the Birth of John the Baptist
1,Luke 1:26-38,"Now in the sixth month, the angel Gabriel was sent from God to a city of Galilee, named Nazareth,
to a virgin pledged to be married to a man whose name was Joseph, of David’s house. The virgin’s name was Mary.
Having come in, the angel said to her, “Rejoice, you highly favored one! The Lord is with you. Blessed are you among women!”
But when she saw him, she was greatly troubled at the saying, and considered what kind of salutation this might be.
The angel said to her, “Don’t be afraid, Mary, for you have found favor with God.
Behold, you will conceive in your womb, and give birth to a son, and will call his name ‘Jesus.’
He will be great, and will be called the Son of the Most High. The Lord God will give him the throne of his father, David,
and he will reign over the house of Jacob forever. There will be no end to his Kingdom.”
Mary said to the angel, “How can this be, seeing I am a virgin?”
The angel answered her, “The Holy Spirit will come on you, and the power of the Most High will overshadow you. Therefore also the holy one who is born from you will be called the Son of God.
Behold, Elizabeth, your relative, also has conceived a son in her old age; and this is the sixth month with her who was called barren.
For nothing spoken by God is impossible.”
Mary said, “Behold, the servant of the Lord; let it be done to me according to your word.”
The angel departed from her.
",childhood,The Annunciation
2,Luke 1:39-56,"Mary arose in those days and went into the hill country with haste, into a city of Judah,
and entered into the house of Zacharias and greeted Elizabeth.
When Elizabeth heard Mary’s greeting, the baby leaped in her womb, and Elizabeth was filled with the Holy Spirit.
She called out with a loud voice, and said, “Blessed are you among women, and blessed is the fruit of your womb!
Why am I so favored, that the mother of my Lord should come to me?
For behold, when the voice of your greeting came into my ears, the baby leaped in my womb for joy!
Blessed is she who believed, for there will be a fulfillment of the things which have been spoken to her from the Lord!”
Mary said,
“My soul magnifies the Lord.
My spirit has rejoiced in God my Savior,
for he has looked at the humble state of his servant.
For behold, from now on, all generations will call me blessed.
For he who is mighty has done great things for me.
Holy is his name.
His mercy is for generations of generations on those who fear him.
He has shown strength with his arm.
He has scattered the proud in the imagination of their hearts.
He has put down princes from their thrones.
And has exalted the lowly.
He has filled the hungry with good things.
He has sent the rich away empty.
He has given help to Israel, his servant, that he might remember mercy,
As he spoke to our fathers,
to Abraham and his offspring forever.”
Mary stayed with her about three months, and then returned to her house.
",childhood,Mary's Visit to Elizabeth
3,Luke 1:57-80,"Now the time that Elizabeth should give birth was fulfilled, and she gave birth to a son.
Her neighbors and her relatives heard that the Lord had magnified his mercy towards her, and they rejoiced with her.
On the eighth day, they came to circumcise the child; and they would have called him Zacharias, after the name of his father.
His mother answered, “Not so; but he will be called John.”
They said to her, “There is no one among your relatives who is called by this name.”
They made signs to his father, what he would have him called.
He asked for a writing tablet, and wrote, “His name is John.”
They all marveled.
His mouth was opened immediately, and his tongue freed, and he spoke, blessing God.
Fear came on all who lived around them, and all these sayings were talked about throughout all the hill country of Judea.
All who heard them laid them up in their heart, saying, “What then will this child be?” The hand of the Lord was with him.
His father, Zacharias, was filled with the Holy Spirit, and prophesied, saying,
“Blessed be the Lord, the God of Israel,
for he has visited and redeemed his people;
and has raised up a horn of salvation for us in the house of his servant David
(as he spoke by the mouth of his holy prophets who have been from of old),
salvation from our enemies, and from the hand of all who hate us;
to show mercy towards our fathers,
to remember his holy covenant,
the oath which he swore to Abraham, our father,
to grant to us that we, being delivered out of the hand of our enemies,
should serve him without fear,
In holiness and righteousness before him all the days of our life.
And you, child, will be called a prophet of the Most High,
for you will go before the face of the Lord to prepare his ways,
to give knowledge of salvation to his people by the remission of their sins,
because of the tender mercy of our God,
whereby the dawn from on high will visit us,
to shine on those who sit in darkness and the shadow of death;
to guide our feet into the way of peace.”
The child was growing, and becoming strong in spirit, and was in the desert until the day of his public appearance to Israel.
",childhood,The Birth of John the Baptist
4,Matthew 1:2-17,"Abraham became the father of Isaac. Isaac became the father of Jacob. Jacob became the father of Judah and his brothers.
Judah became the father of Perez and Zerah by Tamar. Perez became the father of Hezron. Hezron became the father of Ram.
Ram became the father of Amminadab. Amminadab became the father of Nahshon. Nahshon became the father of Salmon.
Salmon became the father of Boaz by Rahab. Boaz became the father of Obed by Ruth. Obed became the father of Jesse.
Jesse became the father of King David. David became the father of Solomon by her who had been Uriah’s wife.
Solomon became the father of Rehoboam. Rehoboam became the father of Abijah. Abijah became the father of Asa.
Asa became the father of Jehoshaphat. Jehoshaphat became the father of Joram. Joram became the father of Uzziah.
Uzziah became the father of Jotham. Jotham became the father of Ahaz. Ahaz became the father of Hezekiah.
Hezekiah became the father of Manasseh. Manasseh became the father of Amon. Amon became the father of Josiah.
Josiah became the father of Jechoniah and his brothers, at the time of the exile to Babylon.
After the exile to Babylon, Jechoniah became the father of Shealtiel. Shealtiel became the father of Zerubbabel.
Zerubbabel became the father of Abiud. Abiud became the father of Eliakim. Eliakim became the father of Azor.
Azor became the father of Zadok. Zadok became the father of Achim. Achim became the father of Eliud.
Eliud became the father of Eleazar. Eleazar became the father of Matthan. Matthan became the father of Jacob.
Jacob became the father of Joseph, the husband of Mary, from whom was born Jesus, who is called Christ.
So all the generations from Abraham to David are fourteen generations; from David to the exile to Babylon fourteen generations; and from the carrying away to Babylon to the Christ, fourteen generations.
",childhood,The Genealogy of Jesus
5,Luke 3:23-38,"Jesus himself, when he began to teach, was about thirty years old, being the son (as was supposed) of Joseph, the son of Heli,
the son of Matthat, the son of Levi, the son of Melchi, the son of Jannai, the son of Joseph,
the son of Mattathias, the son of Amos, the son of Nahum, the son of Esli, the son of Naggai,
the son of Maath, the son of Mattathias, the son of Semein, the son of Joseph, the son of Judah,
the son of Joanan, the son of Rhesa, the son of Zerubbabel, the son of Shealtiel, the son of Neri,
the son of Melchi, the son of Addi, the son of Cosam, the son of Elmodam, the son of Er,
the son of Jose, the son of Eliezer, the son of Jorim, the son of Matthat, the son of Levi,
the son of Simeon, the son of Judah, the son of Joseph, the son of Jonan, the son of Eliakim,
the son of Melea, the son of Menan, the son of Mattatha, the son of Nathan, the son of David,
the son of Jesse, the son of Obed, the son of Boaz, the son of Salmon, the son of Nahshon,
the son of Amminadab, the son of Aram, the son of Hezron, the son of Perez, the son of Judah,
the son of Jacob, the son of Isaac, the son of Abraham, the son of Terah, the son of Nahor,
the son of Serug, the son of Reu, the son of Peleg, the son of Eber, the son of Shelah,
the son of Cainan, the son of Arphaxad, the son of Shem, the son of Noah, the son of Lamech,
the son of Methuselah, the son of Enoch, the son of Jared, the son of Mahalaleel, the son of Cainan,
the son of Enos, the son of Seth, the son of Adam, the son of God.
",preparation;childhood,The Genealogy of Jesus
6,Matthew 1:18-25,"Now the birth of Jesus Christ was like this: After his mother, Mary, was engaged to Joseph, before they came together, she was found pregnant by the Holy Spirit.
Joseph, her husband, being a righteous man, and not willing to make her a public example, intended to put her away secretly.
But when he thought about these things, behold, an angel of the Lord appeared to him in a dream, saying, “Joseph, son of David, don’t be afraid to take to yourself Mary, your wife, for that which is conceived in her is of the Holy Spirit.
She shall give birth to a son. You shall call his name Jesus, for it is he who shall save his people from their sins.”
Now all this has happened, that it might be fulfilled which was spoken by the Lord through the prophet, saying,
“Behold, the virgin shall be with child,
and shall give birth to a son.
They shall call his name Immanuel”;
which is, being interpreted, “God with us.”
Joseph arose from his sleep, and did as the angel of the Lord commanded him, and took his wife to himself;
and didn’t know her sexually until she had given birth to her firstborn son. He named him Jesus.
",childhood,The Birth of Jesus
7,Luke 2:1-7,"Now in those days, a decree went out from Caesar Augustus that all the world should be enrolled.
This was the first enrollment made when Quirinius was governor of Syria.
All went to enroll themselves, everyone to his own city.
Joseph also went up from Galilee, out of the city of Nazareth, into Judea, to David’s city, which is called Bethlehem, because he was of the house and family of David;
to enroll himself with Mary, who was pledged to be married to him as wife, being pregnant.
While they were there, the day had come for her to give birth.
She gave birth to her firstborn son. She wrapped him in bands of cloth, and laid him in a feeding trough, because there was no room for them in the inn.
",childhood,The Birth of Jesus
8,Matthew 2:1-12,"Now when Jesus was born in Bethlehem of Judea in the days of King Herod, behold, wise men from the east came to Jerusalem, saying,
“Where is he who is born King of the Jews? For we saw his star in the east, and have come to worship him.”
When King Herod heard it, he was troubled, and all Jerusalem with him.
Gathering together all the chief priests and scribes of the people, he asked them where the Christ would be born.
They said to him, “In Bethlehem of Judea, for this is written through the prophet,
‘You Bethlehem, land of Judah,
are in no way least among the princes of Judah:
for out of you shall come a governor,
who shall shepherd my people, Israel.’”
Then Herod secretly called the wise men, and learned from them exactly what time the star appeared.
He sent them to Bethlehem, and said, “Go and search diligently for the young child. When you have found him, bring me word, so that I also may come and worship him.”
They, having heard the king, went their way; and behold, the star, which they saw in the east, went before them, until it came and stood over where the young child was.
When they saw the star, they rejoiced with exceedingly great joy.
They came into the house and saw the young child with Mary, his mother, and they fell down and worshiped him. Opening their treasures, they offered to him gifts: gold, frankincense, and myrrh.
Being warned in a dream that they shouldn’t return to Herod, they went back to their own country another way.
",childhood,The Adoration of the Infant Jesus
9,Luke 2:8-20,"There were shepherds in the same country staying in the field, and keeping watch by night over their flock.
Behold, an angel of the Lord stood by them, and the glory of the Lord shone around them, and they were terrified.
The angel said to them, “Don’t be afraid, for behold, I bring you good news of great joy which will be to all the people.
For there is born to you today, in David’s city, a Savior, who is Christ the Lord.
This is the sign to you: you will find a baby wrapped in strips of cloth, lying in a feeding trough.”
Suddenly, there was with the angel a multitude of the heavenly army praising God, and saying,
“Glory to God in the highest,
on earth peace, good will toward men.”
When the angels went away from them into the sky, the shepherds said to one another, “Let’s go to Bethlehem, now, and see this thing that has happened, which the Lord has made known to us.”
They came with haste, and found both Mary and Joseph, and the baby was lying in the feeding trough.
When they saw it, they publicized widely the saying which was spoken to them about this child.
All who heard it wondered at the things which were spoken to them by the shepherds.
But Mary kept all these sayings, pondering them in her heart.
The shepherds returned, glorifying and praising God for all the things that they had heard and seen, just as it was told them.
",childhood,The Adoration of the Infant Jesus
